# White matter atlas - generated on 2014-12-09
# ID, name, file
0, left fasciculus gracilis, WMtract__00.nii.gz
1, left fasciculus cuneatus, WMtract__01.nii.gz
2, left lateral corticospinal tract, WMtract__02.nii.gz
3, left spinocerebellar tract, WMtract__03.nii.gz
4, left rubrospinal tract, WMtract__04.nii.gz
5, left lateral reticulospinal tract, WMtract__05.nii.gz
6, left spinal lemniscus (spinothalamic and spinoreticular tracts), WMtract__06.nii.gz
7, left spino-olivary tract, WMtract__07.nii.gz
8, left ventrolateral reticulospinal tract, WMtract__08.nii.gz
9, left lateral vestibulospinal tract, WMtract__09.nii.gz
10, left ventral reticulospinal tract, WMtract__10.nii.gz
11, left ventral corticospinal tract, WMtract__11.nii.gz
12, left tectospinal tract, WMtract__12.nii.gz
13, left medial reticulospinal tract, WMtract__13.nii.gz
14, left medial longitudinal fasciculus, WMtract__14.nii.gz
15, right fasciculus gracilis, WMtract__15.nii.gz
16, right fasciculus cuneatus, WMtract__16.nii.gz
17, right lateral corticospinal tract, WMtract__17.nii.gz
18, right spinocerebellar tract, WMtract__18.nii.gz
19, right rubrospinal tract, WMtract__19.nii.gz
20, right lateral reticulospinal tract, WMtract__20.nii.gz
21, right spinal lemniscus (spinothalamic and spinoreticular tracts), WMtract__21.nii.gz
22, right spino-olivary tract, WMtract__22.nii.gz
23, right ventrolateral reticulospinal tract, WMtract__23.nii.gz
24, right lateral vestibulospinal tract, WMtract__24.nii.gz
25, right ventral reticulospinal tract, WMtract__25.nii.gz
26, right ventral corticospinal tract, WMtract__26.nii.gz
27, right tectospinal tract, WMtract__27.nii.gz
28, right medial reticulospinal tract, WMtract__28.nii.gz
29, right medial longitudinal fasciculus, WMtract__29.nii.gz
30, gray matter, WMtract__30.nii.gz
31, CSF contour, WMtract__31.nii.gz

# Combined labels
# ID, name, IDs
32, spinal cord, 0:30
33, white matter, 0:29
34, dorsal columns, 0,1,15,16
35, lateral funiculi, 2,3,4,5,6,17,18,19,20,21
36, ventral funiculi, 7,8,9,10,11,12,13,14,22,23,24,25,26,27,28,29
