Slice (I->S),VertLevel,Label,Size [vox],MAP(),STD()
0,,white matter,0.0,,
1,,white matter,46.64248355771969,56.11167468972905,7.8911319711298304
2,6.0,white matter,62.33120733614247,41.34519722217152,5.360164607318074
3,6.0,white matter,66.38275979339966,55.60635610590262,4.493191225949753
4,5.0,white matter,67.18022242765885,52.87796485576033,4.648229804804368
5,5.0,white matter,71.75198362626114,52.73814092596598,5.539542719185679
6,5.0,white matter,75.82614264656628,52.67134088379024,4.951118065579621
...,,,,,
20,1.0,white matter,76.79569640083025,60.153645300020415,9.322446320705998
21,,white matter,0.0,,
